Year,School Name,K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
2000,West Kent Elementary ,,16,15,21,24,30,32,,,,,,
2000,West Royalty Elementary ,,73,76,73,84,67,85,,,,,,
2000,Westisle Composite High ,,,,,,,,,,,262,251,248
2000,Westwood Primary ,,148,151,129,,,,,,,,,
2000,École Évangéline,,32,20,26,37,28,38,43,33,37,38,31,55
2000,École François-Buote,,17,13,12,10,17,17,17,19,16,7,15,10
2000,École St-Augustin,,5,,,,,,,,,,,
2000,École-sur-Mer,,4,,,,,,,,,,,
2000,Centre scolaire cummunautaire française de Prince-Ouest,,6,,,,,,,,,,,
2000,Immanuel Christian ,,7,2,6,4,4,4,3,1,5,,,
2000,Full Circle Co-operative  ,,0,0,0,2,1,2,1,2,2,,,
2000,Fair Isle Adventist,,1,0,1,2,0,2,1,,,,,
2000,Grace Christian,,15,10,16,9,16,11,14,15,18,10,13,16
2001,Alberton Elementary ,,47,32,30,42,39,47,,,  ,,,
2001,Alternative Education Class,,,,,,,,,7,13,,,
2001,Amherst Cove Consolidated,,25,25,26,19,28,24,20,25,,,,
2001,Athena Consolidated,,53,40,36,49,53,41,63,50,48,,,
2001,Belfast Consolidated ,,22,28,31,37,32,33,30,36,34,,,
2001,Birchwood Intermediate,,,,,,,,170,141,136,,,
2001,Bloomfield Elementary ,,29,35,37,28,32,44,,,  ,,,
2001,Bluefield High,,,,,,,,,,,333,270,247
2001,Cardigan Consolidated,,18,25,28,27,30,40,20,27,,,,
2001,Central Queens Elementary,,41,32,39,46,47,59,,,,,,
2001,Charlottetown Rural High,,,,,,,,,,,352,353,378
2001,Colonel Gray High,,,,,,,,,,,311,322,339
2001,Donagh Regional ,,21,21,19,18,18,26,18,13,12,,,
2001,Dundas Consolidated ,,12,9,12,7,10,10,9,9,,,,
2001,East Wiltshire Intermediate,,,,,,,,198,187,196,,,
2001,Eastern Kings Consolidated ,,4,12,6,12,13,11,12,13,,,,
2001,Eliot River Elementary,,,,,132,150,157,,,,,,
2001,Ellerslie Elementary ,,32,35,38,25,41,43,,,  ,,,
2001,Elm Street Elementary,,65,46,49,96,96,92,,,,,,
2001,Englewood ,,28,21,27,30,32,28,24,31,18,,,
2001,Fortune Consolidated ,,32,30,32,35,,,,,,,,
2001,Georgetown Elementary ,,11,13,15,9,13,18,8,6,,,,
2001,Glen Stewart Elementary,,110,89,104,116,115,112,,,,,,
2001,Grand Tracadie Elementary ,,8,9,10,10,7,10,,,,,,
2001,Greenfield Elementary,,83,81,83,50,62,47,,,  ,,,
2001,Gulf Shore Consolidated ,,24,27,41,44,39,44,46,25,41,,,
2001,Hernewood Intermediate ,,,,,,,,128,156,115,,,
2001,Kensington Intermediate/Senior High ,,,,,,,,97,71,81,84,75,72
2001,Kinkora Regional High,,,,,,,,,,51,49,61,49
2001,L. M. Montgomery,,62,55,73,71,74,69,,,,,,
2001,M.E. Callaghan Intermediate ,,,,,,,,116,112,135,,,
2001,Miscouche Consolidated,,28,28,30,27,31,28,26,25,18,,,
2001,Montague Consolidated ,,75,67,66,69,67,68,,,,,,
2001,Montague Intermediate ,,,,,,,,72,79,200,,,
2001,Montague Regional High ,,,,,,,,,,,246,215,257
2001,Morell Consolidated ,,21,24,33,24,30,22,30,29,,,,
2001,Morell Regional High ,,,,,,,,,,97,81,86,74
2001,Mt. Stewart Consolidated ,,13,15,10,11,12,21,13,23,,,,
