School,Year,Size
Elm Street Elementary,2012,405
Elm Street Elementary,2013,425
Elm Street Elementary,2014,434
Elm Street Elementary,2015,445
Englewood,1999,259
Englewood,2000,234
Englewood,2001,239
Englewood,2002,240
Englewood,2003,235
Englewood,2004,227
Englewood,2005,228
Englewood,2006,220
Englewood,2007,193
Englewood,2008,184
Englewood,2009,191
Englewood,2010,201
Englewood,2011,192
Englewood,2012,187
Englewood,2013,194
Englewood,2014,196
Englewood,2015,195
Fortune Consolidated,1999,119
Fortune Consolidated,2000,122
Fortune Consolidated,2001,129
Fortune Consolidated,2002,116
Fortune Consolidated,2003,91
Fortune Consolidated,2004,80
Fortune Consolidated,2005,69
Fortune Consolidated,2006,73
Fortune Consolidated,2007,69
Fortune Consolidated,2008,53
Fortune Consolidated,2009,0
Fortune Consolidated,2010,0
Fortune Consolidated,2011,0
Fortune Consolidated,2012,0
Fortune Consolidated,2013,0
Fortune Consolidated,2014,0
Fortune Consolidated,2015,0
Georgetown Elementary,1999,95
Georgetown Elementary,2000,95
Georgetown Elementary,2001,93
Georgetown Elementary,2002,102
Georgetown Elementary,2003,96
Georgetown Elementary,2004,89
Georgetown Elementary,2005,84
Georgetown Elementary,2006,86
Georgetown Elementary,2007,84
Georgetown Elementary,2008,94
Georgetown Elementary,2009,94
Georgetown Elementary,2010,98
Georgetown Elementary,2011,92
Georgetown Elementary,2012,87
Georgetown Elementary,2013,74
Georgetown Elementary,2014,61
Georgetown Elementary,2015,50
Glen Stewart Elementary,1999,673
Glen Stewart Elementary,2000,632
Glen Stewart Elementary,2001,646
Glen Stewart Elementary,2002,659
Glen Stewart Elementary,2003,659
Glen Stewart Elementary,2004,619
Glen Stewart Elementary,2005,624
Glen Stewart Elementary,2006,639
Glen Stewart Elementary,2007,659
Glen Stewart Elementary,2008,639
Glen Stewart Elementary,2009,680
Glen Stewart Elementary,2010,509
Glen Stewart Elementary,2011,563
Glen Stewart Elementary,2012,577
Glen Stewart Elementary,2013,603
Glen Stewart Elementary,2014,610
Glen Stewart Elementary,2015,609
Grand Tracadie Elementary,1999,55
Grand Tracadie Elementary,2000,54
Grand Tracadie Elementary,2001,54
Grand Tracadie Elementary,2002,50
Grand Tracadie Elementary,2003,48
Grand Tracadie Elementary,2004,41
Grand Tracadie Elementary,2005,39
Grand Tracadie Elementary,2006,40
Grand Tracadie Elementary,2007,36
Grand Tracadie Elementary,2008,30
Grand Tracadie Elementary,2009,0
Grand Tracadie Elementary,2010,0
Grand Tracadie Elementary,2011,0
Grand Tracadie Elementary,2012,0
Grand Tracadie Elementary,2013,0
Grand Tracadie Elementary,2014,0
Grand Tracadie Elementary,2015,0
Greenfield Elementary,1999,434
Greenfield Elementary,2000,409
Greenfield Elementary,2001,406
Greenfield Elementary,2002,414
Greenfield Elementary,2003,413
Greenfield Elementary,2004,396
Greenfield Elementary,2005,401
Greenfield Elementary,2006,371
Greenfield Elementary,2007,340
Greenfield Elementary,2008,381
Greenfield Elementary,2009,316
Greenfield Elementary,2010,324
Greenfield Elementary,2011,350
Greenfield Elementary,2012,393
Greenfield Elementary,2013,393
Greenfield Elementary,2014,376
Greenfield Elementary,2015,345
Gulf Shore Consolidated,1999,339
Gulf Shore Consolidated,2000,332
Gulf Shore Consolidated,2001,331
Gulf Shore Consolidated,2002,321
Gulf Shore Consolidated,2003,323
Gulf Shore Consolidated,2004,297
Gulf Shore Consolidated,2005,277
Gulf Shore Consolidated,2006,265
Gulf Shore Consolidated,2007,249
Gulf Shore Consolidated,2008,220
Gulf Shore Consolidated,2009,206
Gulf Shore Consolidated,2010,232
Gulf Shore Consolidated,2011,216
Gulf Shore Consolidated,2012,210
Gulf Shore Consolidated,2013,227
Gulf Shore Consolidated,2014,240
Gulf Shore Consolidated,2015,256
Hernewood Junior High,1999,377
Hernewood Junior High,2000,375
Hernewood Junior High,2001,399
Hernewood Junior High,2002,427
Hernewood Junior High,2003,411
Hernewood Junior High,2004,381
Hernewood Junior High,2005,356
Hernewood Junior High,2006,327
Hernewood Junior High,2007,337
Hernewood Junior High,2008,330
Hernewood Junior High,2009,324
Hernewood Junior High,2010,307
Hernewood Junior High,2011,278
Hernewood Junior High,2012,262
Hernewood Junior High,2013,236
Hernewood Junior High,2014,243
Hernewood Junior High,2015,258
Kensington Intermediate Senior High,1999,468
Kensington Intermediate Senior High,2000,460
Kensington Intermediate Senior High,2001,480
Kensington Intermediate Senior High,2002,487
Kensington Intermediate Senior High,2003,484
Kensington Intermediate Senior High,2004,459
Kensington Intermediate Senior High,2005,474
Kensington Intermediate Senior High,2006,446
Kensington Intermediate Senior High,2007,438
Kensington Intermediate Senior High,2008,428
Kensington Intermediate Senior High,2009,435
Kensington Intermediate Senior High,2010,429
Kensington Intermediate Senior High,2011,402
Kensington Intermediate Senior High,2012,379
Kensington Intermediate Senior High,2013,346
Kensington Intermediate Senior High,2014,306
Kensington Intermediate Senior High,2015,279
Kinkora Regional High,1999,200
Kinkora Regional High,2000,214
Kinkora Regional High,2001,210
Kinkora Regional High,2002,201
Kinkora Regional High,2003,191
Kinkora Regional High,2004,192
Kinkora Regional High,2005,193
Kinkora Regional High,2006,196
Kinkora Regional High,2007,195
Kinkora Regional High,2008,195
Kinkora Regional High,2009,186
Kinkora Regional High,2010,186
Kinkora Regional High,2011,174
Kinkora Regional High,2012,161
Kinkora Regional High,2013,146
Kinkora Regional High,2014,130
Kinkora Regional High,2015,129
L.M. Montgomery Elementary,1999,392
L.M. Montgomery Elementary,2000,388
L.M. Montgomery Elementary,2001,404
L.M. Montgomery Elementary,2002,380
L.M. Montgomery Elementary,2003,357
L.M. Montgomery Elementary,2004,320
L.M. Montgomery Elementary,2005,283
L.M. Montgomery Elementary,2006,265
L.M. Montgomery Elementary,2007,242
L.M. Montgomery Elementary,2008,240
L.M. Montgomery Elementary,2009,287
L.M. Montgomery Elementary,2010,340
L.M. Montgomery Elementary,2011,361
L.M. Montgomery Elementary,2012,360
L.M. Montgomery Elementary,2013,388
L.M. Montgomery Elementary,2014,434
L.M. Montgomery Elementary,2015,438
M.E. Callaghan Intermediate,1999,363
M.E. Callaghan Intermediate,2000,350
M.E. Callaghan Intermediate,2001,363
M.E. Callaghan Intermediate,2002,330
M.E. Callaghan Intermediate,2003,325
M.E. Callaghan Intermediate,2004,344
M.E. Callaghan Intermediate,2005,331
M.E. Callaghan Intermediate,2006,311
M.E. Callaghan Intermediate,2007,294
M.E. Callaghan Intermediate,2008,281
M.E. Callaghan Intermediate,2009,282
M.E. Callaghan Intermediate,2010,270
M.E. Callaghan Intermediate,2011,263
M.E. Callaghan Intermediate,2012,242
