School,Year,Level,Size
Amherst Cove Consolidated,2006,Grade 2,16
Amherst Cove Consolidated,2006,Grade 3,19
Amherst Cove Consolidated,2006,Grade 4,18
Amherst Cove Consolidated,2006,Grade 5,25
Amherst Cove Consolidated,2006,Grade 6,27
Amherst Cove Consolidated,2006,Grade 7,19
Amherst Cove Consolidated,2006,Grade 8,25
Amherst Cove Consolidated,2006,Grade 9,0
Amherst Cove Consolidated,2006,Grade 10,0
Amherst Cove Consolidated,2006,Grade 11,0
Amherst Cove Consolidated,2006,Grade 12,0
Amherst Cove Consolidated,2007,K,0
Amherst Cove Consolidated,2007,Grade 1,14
Amherst Cove Consolidated,2007,Grade 2,13
Amherst Cove Consolidated,2007,Grade 3,17
Amherst Cove Consolidated,2007,Grade 4,19
Amherst Cove Consolidated,2007,Grade 5,16
Amherst Cove Consolidated,2007,Grade 6,23
Amherst Cove Consolidated,2007,Grade 7,26
Amherst Cove Consolidated,2007,Grade 8,19
Amherst Cove Consolidated,2007,Grade 9,0
Amherst Cove Consolidated,2007,Grade 10,0
Amherst Cove Consolidated,2007,Grade 11,0
Amherst Cove Consolidated,2007,Grade 12,0
Amherst Cove Consolidated,2008,K,0
Amherst Cove Consolidated,2008,Grade 1,15
Amherst Cove Consolidated,2008,Grade 2,12
Amherst Cove Consolidated,2008,Grade 3,13
Amherst Cove Consolidated,2008,Grade 4,17
Amherst Cove Consolidated,2008,Grade 5,22
Amherst Cove Consolidated,2008,Grade 6,15
Amherst Cove Consolidated,2008,Grade 7,23
Amherst Cove Consolidated,2008,Grade 8,26
Amherst Cove Consolidated,2008,Grade 9,0
Amherst Cove Consolidated,2008,Grade 10,0
Amherst Cove Consolidated,2008,Grade 11,0
Amherst Cove Consolidated,2008,Grade 12,0
Amherst Cove Consolidated,2009,K,0
Amherst Cove Consolidated,2009,Grade 1,22
Amherst Cove Consolidated,2009,Grade 2,13
Amherst Cove Consolidated,2009,Grade 3,11
Amherst Cove Consolidated,2009,Grade 4,14
Amherst Cove Consolidated,2009,Grade 5,14
Amherst Cove Consolidated,2009,Grade 6,20
Amherst Cove Consolidated,2009,Grade 7,13
Amherst Cove Consolidated,2009,Grade 8,21
Amherst Cove Consolidated,2009,Grade 9,0
Amherst Cove Consolidated,2009,Grade 10,0
Amherst Cove Consolidated,2009,Grade 11,0
Amherst Cove Consolidated,2009,Grade 12,0
Amherst Cove Consolidated,2010,K,20
Amherst Cove Consolidated,2010,Grade 1,16
Amherst Cove Consolidated,2010,Grade 2,22
Amherst Cove Consolidated,2010,Grade 3,12
Amherst Cove Consolidated,2010,Grade 4,10
Amherst Cove Consolidated,2010,Grade 5,15
Amherst Cove Consolidated,2010,Grade 6,14
Amherst Cove Consolidated,2010,Grade 7,17
Amherst Cove Consolidated,2010,Grade 8,12
Amherst Cove Consolidated,2010,Grade 9,0
Amherst Cove Consolidated,2010,Grade 10,0
Amherst Cove Consolidated,2010,Grade 11,0
Amherst Cove Consolidated,2010,Grade 12,0
Amherst Cove Consolidated,2011,K,7
Amherst Cove Consolidated,2011,Grade 1,21
Amherst Cove Consolidated,2011,Grade 2,15
Amherst Cove Consolidated,2011,Grade 3,23
Amherst Cove Consolidated,2011,Grade 4,12
Amherst Cove Consolidated,2011,Grade 5,10
Amherst Cove Consolidated,2011,Grade 6,14
Amherst Cove Consolidated,2011,Grade 7,13
Amherst Cove Consolidated,2011,Grade 8,17
Amherst Cove Consolidated,2011,Grade 9,0
Amherst Cove Consolidated,2011,Grade 10,0
Amherst Cove Consolidated,2011,Grade 11,0
Amherst Cove Consolidated,2011,Grade 12,0
Amherst Cove Consolidated,2012,K,14
Amherst Cove Consolidated,2012,Grade 1,5
Amherst Cove Consolidated,2012,Grade 2,20
Amherst Cove Consolidated,2012,Grade 3,14
Amherst Cove Consolidated,2012,Grade 4,20
Amherst Cove Consolidated,2012,Grade 5,10
Amherst Cove Consolidated,2012,Grade 6,11
Amherst Cove Consolidated,2012,Grade 7,14
Amherst Cove Consolidated,2012,Grade 8,12
Amherst Cove Consolidated,2012,Grade 9,0
Amherst Cove Consolidated,2012,Grade 10,0
Amherst Cove Consolidated,2012,Grade 11,0
Amherst Cove Consolidated,2012,Grade 12,0
Amherst Cove Consolidated,2013,K,16
Amherst Cove Consolidated,2013,Grade 1,14
Amherst Cove Consolidated,2013,Grade 2,5
Amherst Cove Consolidated,2013,Grade 3,20
Amherst Cove Consolidated,2013,Grade 4,16
Amherst Cove Consolidated,2013,Grade 5,21
Amherst Cove Consolidated,2013,Grade 6,11
Amherst Cove Consolidated,2013,Grade 7,12
Amherst Cove Consolidated,2013,Grade 8,15
Amherst Cove Consolidated,2013,Grade 9,0
Amherst Cove Consolidated,2013,Grade 10,0
Amherst Cove Consolidated,2013,Grade 11,0
Amherst Cove Consolidated,2013,Grade 12,0
Amherst Cove Consolidated,2014,K,10
Amherst Cove Consolidated,2014,Grade 1,15
Amherst Cove Consolidated,2014,Grade 2,14
Amherst Cove Consolidated,2014,Grade 3,4
Amherst Cove Consolidated,2014,Grade 4,22
Amherst Cove Consolidated,2014,Grade 5,16
Amherst Cove Consolidated,2014,Grade 6,20
Amherst Cove Consolidated,2014,Grade 7,11
Amherst Cove Consolidated,2014,Grade 8,10
Amherst Cove Consolidated,2014,Grade 9,0
Amherst Cove Consolidated,2014,Grade 10,0
Amherst Cove Consolidated,2014,Grade 11,0
Amherst Cove Consolidated,2014,Grade 12,0
Amherst Cove Consolidated,2015,K,13
Amherst Cove Consolidated,2015,Grade 1,12
Amherst Cove Consolidated,2015,Grade 2,13
Amherst Cove Consolidated,2015,Grade 3,14
Amherst Cove Consolidated,2015,Grade 4,5
Amherst Cove Consolidated,2015,Grade 5,21
Amherst Cove Consolidated,2015,Grade 6,14
Amherst Cove Consolidated,2015,Grade 7,22
Amherst Cove Consolidated,2015,Grade 8,11
Amherst Cove Consolidated,2015,Grade 9,0
Amherst Cove Consolidated,2015,Grade 10,0
Amherst Cove Consolidated,2015,Grade 11,0
Amherst Cove Consolidated,2015,Grade 12,0
Athena Consolidated,1999,K,0
Athena Consolidated,1999,Grade 1,35
Athena Consolidated,1999,Grade 2,45
Athena Consolidated,1999,Grade 3,45
Athena Consolidated,1999,Grade 4,37
Athena Consolidated,1999,Grade 5,55
Athena Consolidated,1999,Grade 6,54
Athena Consolidated,1999,Grade 7,51
Athena Consolidated,1999,Grade 8,52
Athena Consolidated,1999,Grade 9,64
Athena Consolidated,1999,Grade 10,0
Athena Consolidated,1999,Grade 11,0
Athena Consolidated,1999,Grade 12,0
Athena Consolidated,2000,K,0
Athena Consolidated,2000,Grade 1,41
Athena Consolidated,2000,Grade 2,35
Athena Consolidated,2000,Grade 3,44
Athena Consolidated,2000,Grade 4,50
Athena Consolidated,2000,Grade 5,38
Athena Consolidated,2000,Grade 6,59
Athena Consolidated,2000,Grade 7,52
Athena Consolidated,2000,Grade 8,52
Athena Consolidated,2000,Grade 9,49
Athena Consolidated,2000,Grade 10,0
Athena Consolidated,2000,Grade 11,0
Athena Consolidated,2000,Grade 12,0
Athena Consolidated,2001,K,0
Athena Consolidated,2001,Grade 1,53
Athena Consolidated,2001,Grade 2,40
Athena Consolidated,2001,Grade 3,36
Athena Consolidated,2001,Grade 4,49
Athena Consolidated,2001,Grade 5,53
Athena Consolidated,2001,Grade 6,41
Athena Consolidated,2001,Grade 7,63
Athena Consolidated,2001,Grade 8,50
Athena Consolidated,2001,Grade 9,48
Athena Consolidated,2001,Grade 10,0
Athena Consolidated,2001,Grade 11,0
Athena Consolidated,2001,Grade 12,0
Athena Consolidated,2002,K,0
Athena Consolidated,2002,Grade 1,30
Athena Consolidated,2002,Grade 2,54
Athena Consolidated,2002,Grade 3,45
Athena Consolidated,2002,Grade 4,38
Athena Consolidated,2002,Grade 5,56
Athena Consolidated,2002,Grade 6,53
Athena Consolidated,2002,Grade 7,48
Athena Consolidated,2002,Grade 8,62
Athena Consolidated,2002,Grade 9,49
Athena Consolidated,2002,Grade 10,0
Athena Consolidated,2002,Grade 11,0
Athena Consolidated,2002,Grade 12,0
Athena Consolidated,2003,K,0
Athena Consolidated,2003,Grade 1,33
Athena Consolidated,2003,Grade 2,34
Athena Consolidated,2003,Grade 3,53
Athena Consolidated,2003,Grade 4,44
Athena Consolidated,2003,Grade 5,42
